grayscale,theta,theta_lower,theta_upper
0,0,0,0.004619989
1,0.009239978,0.004619989,0.015399964
2,0.02155995,0.015399964,0.027719935
3,0.033879921,0.027719935,0.040039906
4,0.046199892,0.040039906,0.052359878
5,0.058519863,0.052359878,0.064679849
6,0.070839834,0.064679849,0.07699982
7,0.083159806,0.07699982,0.089319791
8,0.095479777,0.089319791,0.101639762
9,0.107799748,0.101639762,0.113959734
10,0.120119719,0.113959734,0.126279705
11,0.13243969,0.126279705,0.138599676
12,0.144759661,0.138599676,0.150919647
13,0.157079633,0.150919647,0.163239618
14,0.169399604,0.163239618,0.175559589
15,0.181719575,0.175559589,0.187879561
16,0.194039546,0.187879561,0.200199532
17,0.206359517,0.200199532,0.212519503
18,0.218679489,0.212519503,0.224839474
19,0.23099946,0.224839474,0.237159445
20,0.243319431,0.237159445,0.249479417
21,0.255639402,0.249479417,0.261799388
22,0.267959373,0.261799388,0.274119359
23,0.280279345,0.274119359,0.28643933
24,0.292599316,0.28643933,0.298759301
25,0.304919287,0.298759301,0.311079273
26,0.317239258,0.311079273,0.323399244
27,0.329559229,0.323399244,0.335719215
28,0.341879201,0.335719215,0.348039186
29,0.354199172,0.348039186,0.360359157
30,0.366519143,0.360359157,0.372679129
31,0.378839114,0.372679129,0.3849991
32,0.391159085,0.3849991,0.397319071
33,0.403479056,0.397319071,0.409639042
34,0.415799028,0.409639042,0.421959013
35,0.428118999,0.421959013,0.434278984
36,0.44043897,0.434278984,0.446598956
37,0.452758941,0.446598956,0.458918927
38,0.465078912,0.458918927,0.471238898
39,0.477398884,0.471238898,0.483558869
40,0.489718855,0.483558869,0.49587884
41,0.502038826,0.49587884,0.508198812
42,0.514358797,0.508198812,0.520518783
43,0.526678768,0.520518783,0.532838754
44,0.53899874,0.532838754,0.545158725
45,0.551318711,0.545158725,0.557478696
46,0.563638682,0.557478696,0.569798668
47,0.575958653,0.569798668,0.582118639
48,0.588278624,0.582118639,0.59443861
49,0.600598596,0.59443861,0.606758581
50,0.612918567,0.606758581,0.619078552
51,0.625238538,0.619078552,0.631398524
52,0.637558509,0.631398524,0.643718495
53,0.64987848,0.643718495,0.656038466
54,0.662198451,0.656038466,0.668358437
55,0.674518423,0.668358437,0.680678408
56,0.686838394,0.680678408,0.692998379
57,0.699158365,0.692998379,0.705318351
58,0.711478336,0.705318351,0.717638322
59,0.723798307,0.717638322,0.729958293
60,0.736118279,0.729958293,0.742278264
61,0.74843825,0.742278264,0.754598235
62,0.760758221,0.754598235,0.766918207
63,0.773078192,0.766918207,0.779238178
64,0.785398163,0.779238178,0.791558149
65,0.797718135,0.791558149,0.80387812
66,0.810038106,0.80387812,0.816198091
67,0.822358077,0.816198091,0.828518063
68,0.834678048,0.828518063,0.840838034
69,0.846998019,0.840838034,0.853158005
70,0.859317991,0.853158005,0.865477976
71,0.871637962,0.865477976,0.877797947
72,0.883957933,0.877797947,0.890117919
73,0.896277904,0.890117919,0.90243789
74,0.908597875,0.90243789,0.914757861
75,0.920917846,0.914757861,0.927077832
76,0.933237818,0.927077832,0.939397803
77,0.945557789,0.939397803,0.951717774
78,0.95787776,0.951717774,0.964037746
79,0.970197731,0.964037746,0.976357717
80,0.982517702,0.976357717,0.988677688
81,0.994837674,0.988677688,1.000997659
82,1.007157645,1.000997659,1.01331763
83,1.019477616,1.01331763,1.025637602
84,1.031797587,1.025637602,1.037957573
85,1.044117558,1.037957573,1.050277544
86,1.05643753,1.050277544,1.062597515
87,1.068757501,1.062597515,1.074917486
88,1.081077472,1.074917486,1.087237458
89,1.093397443,1.087237458,1.099557429
90,1.105717414,1.099557429,1.1118774
91,1.118037386,1.1118774,1.124197371
92,1.130357357,1.124197371,1.136517342
93,1.142677328,1.136517342,1.148837314
94,1.154997299,1.148837314,1.161157285
95,1.16731727,1.161157285,1.173477256
96,1.179637241,1.173477256,1.185797227
97,1.191957213,1.185797227,1.198117198
98,1.204277184,1.198117198,1.210437169
99,1.216597155,1.210437169,1.222757141
100,1.228917126,1.222757141,1.235077112
101,1.241237097,1.235077112,1.247397083
102,1.253557069,1.247397083,1.259717054
103,1.26587704,1.259717054,1.272037025
104,1.278197011,1.272037025,1.284356997
105,1.290516982,1.284356997,1.296676968
106,1.302836953,1.296676968,1.308996939
107,1.315156925,1.308996939,1.32131691
108,1.327476896,1.32131691,1.333636881
109,1.339796867,1.333636881,1.345956853
110,1.352116838,1.345956853,1.358276824
111,1.364436809,1.358276824,1.370596795
112,1.376756781,1.370596795,1.382916766
113,1.389076752,1.382916766,1.395236737
114,1.401396723,1.395236737,1.407556709
115,1.413716694,1.407556709,1.41987668
116,1.426036665,1.41987668,1.432196651
117,1.438356636,1.432196651,1.444516622
118,1.450676608,1.444516622,1.456836593
119,1.462996579,1.456836593,1.469156564
120,1.47531655,1.469156564,1.481476536
121,1.487636521,1.481476536,1.493796507
122,1.499956492,1.493796507,1.506116478
123,1.512276464,1.506116478,1.518436449
124,1.524596435,1.518436449,1.53075642
125,1.536916406,1.53075642,1.543076392
126,1.549236377,1.543076392,1.555396363
127,1.561556348,1.555396363,1.570796327
128,1.580036305,1.570796327,1.586196291
129,1.592356276,1.586196291,1.598516262
130,1.604676248,1.598516262,1.610836233
131,1.616996219,1.610836233,1.623156204
132,1.62931619,1.623156204,1.635476176
133,1.641636161,1.635476176,1.647796147
134,1.653956132,1.647796147,1.660116118
135,1.666276104,1.660116118,1.672436089
136,1.678596075,1.672436089,1.68475606
137,1.690916046,1.68475606,1.697076031
138,1.703236017,1.697076031,1.709396003
139,1.715555988,1.709396003,1.721715974
140,1.727875959,1.721715974,1.734035945
141,1.740195931,1.734035945,1.746355916
142,1.752515902,1.746355916,1.758675887
143,1.764835873,1.758675887,1.770995859
144,1.777155844,1.770995859,1.78331583
145,1.789475815,1.78331583,1.795635801
146,1.801795787,1.795635801,1.807955772
147,1.814115758,1.807955772,1.820275743
148,1.826435729,1.820275743,1.832595715
149,1.8387557,1.832595715,1.844915686
150,1.851075671,1.844915686,1.857235657
151,1.863395643,1.857235657,1.869555628
152,1.875715614,1.869555628,1.881875599
153,1.888035585,1.881875599,1.894195571
154,1.900355556,1.894195571,1.906515542
155,1.912675527,1.906515542,1.918835513
156,1.924995499,1.918835513,1.931155484
157,1.93731547,1.931155484,1.943475455
158,1.949635441,1.943475455,1.955795426
159,1.961955412,1.955795426,1.968115398
160,1.974275383,1.968115398,1.980435369
161,1.986595354,1.980435369,1.99275534
162,1.998915326,1.99275534,2.005075311
163,2.011235297,2.005075311,2.017395282
164,2.023555268,2.017395282,2.029715254
165,2.035875239,2.029715254,2.042035225
166,2.04819521,2.042035225,2.054355196
167,2.060515182,2.054355196,2.066675167
168,2.072835153,2.066675167,2.078995138
169,2.085155124,2.078995138,2.09131511
170,2.097475095,2.09131511,2.103635081
171,2.109795066,2.103635081,2.115955052
172,2.122115038,2.115955052,2.128275023
173,2.134435009,2.128275023,2.140594994
174,2.14675498,2.140594994,2.152914966
175,2.159074951,2.152914966,2.165234937
176,2.171394922,2.165234937,2.177554908
177,2.183714894,2.177554908,2.189874879
178,2.196034865,2.189874879,2.20219485
179,2.208354836,2.20219485,2.214514822
180,2.220674807,2.214514822,2.226834793
181,2.232994778,2.226834793,2.239154764
182,2.245314749,2.239154764,2.251474735
183,2.257634721,2.251474735,2.263794706
184,2.269954692,2.263794706,2.276114677
185,2.282274663,2.276114677,2.288434649
186,2.294594634,2.288434649,2.30075462
187,2.306914605,2.30075462,2.313074591
188,2.319234577,2.313074591,2.325394562
189,2.331554548,2.325394562,2.337714533
190,2.343874519,2.337714533,2.350034505
191,2.35619449,2.350034505,2.362354476
192,2.368514461,2.362354476,2.374674447
193,2.380834433,2.374674447,2.386994418
194,2.393154404,2.386994418,2.399314389
195,2.405474375,2.399314389,2.411634361
196,2.417794346,2.411634361,2.423954332
197,2.430114317,2.423954332,2.436274303
198,2.442434289,2.436274303,2.448594274
199,2.45475426,2.448594274,2.460914245
200,2.467074231,2.460914245,2.473234217
201,2.479394202,2.473234217,2.485554188
202,2.491714173,2.485554188,2.497874159
203,2.504034144,2.497874159,2.51019413
204,2.516354116,2.51019413,2.522514101
205,2.528674087,2.522514101,2.534834072
206,2.540994058,2.534834072,2.547154044
207,2.553314029,2.547154044,2.559474015
208,2.565634,2.559474015,2.571793986
209,2.577953972,2.571793986,2.584113957
210,2.590273943,2.584113957,2.596433928
211,2.602593914,2.596433928,2.6087539
212,2.614913885,2.6087539,2.621073871
213,2.627233856,2.621073871,2.633393842
214,2.639553828,2.633393842,2.645713813
215,2.651873799,2.645713813,2.658033784
216,2.66419377,2.658033784,2.670353756
217,2.676513741,2.670353756,2.682673727
218,2.688833712,2.682673727,2.694993698
219,2.701153684,2.694993698,2.707313669
220,2.713473655,2.707313669,2.71963364
221,2.725793626,2.71963364,2.731953612
222,2.738113597,2.731953612,2.744273583
223,2.750433568,2.744273583,2.756593554
224,2.762753539,2.756593554,2.768913525
225,2.775073511,2.768913525,2.781233496
226,2.787393482,2.781233496,2.793553467
227,2.799713453,2.793553467,2.805873439
228,2.812033424,2.805873439,2.81819341
229,2.824353395,2.81819341,2.830513381
230,2.836673367,2.830513381,2.842833352
231,2.848993338,2.842833352,2.855153323
232,2.861313309,2.855153323,2.867473295
233,2.87363328,2.867473295,2.879793266
234,2.885953251,2.879793266,2.892113237
235,2.898273223,2.892113237,2.904433208
236,2.910593194,2.904433208,2.916753179
237,2.922913165,2.916753179,2.929073151
238,2.935233136,2.929073151,2.941393122
239,2.947553107,2.941393122,2.953713093
240,2.959873079,2.953713093,2.966033064
241,2.97219305,2.966033064,2.978353035
242,2.984513021,2.978353035,2.990673007
243,2.996832992,2.990673007,3.002992978
244,3.009152963,3.002992978,3.015312949
245,3.021472934,3.015312949,3.02763292
246,3.033792906,3.02763292,3.039952891
247,3.046112877,3.039952891,3.052272862
248,3.058432848,3.052272862,3.064592834
249,3.070752819,3.064592834,3.076912805
250,3.08307279,3.076912805,3.089232776
251,3.095392762,3.089232776,3.101552747
252,3.107712733,3.101552747,3.113872718
253,3.120032704,3.113872718,3.12619269
254,3.132352675,3.12619269,3.136972664
255,3.141592654,3.136972664,3.141593654
